Date,Location,Rainfall,Month
30/12/2016,Melbourne,20.4,12
31/12/2016,Melbourne,0,12
1/01/2016,Brisbane,0,1
2/01/2016,Brisbane,0,1
3/01/2016,Brisbane,0,1
4/01/2016,Brisbane,8.8,1
5/01/2016,Brisbane,23.2,1
6/01/2016,Brisbane,NA,1
7/01/2016,Brisbane,0,1
8/01/2016,Brisbane,0,1
9/01/2016,Brisbane,0,1
10/01/2016,Brisbane,0,1
11/01/2016,Brisbane,0,1
12/01/2016,Brisbane,0,1
13/01/2016,Brisbane,0,1
14/01/2016,Brisbane,0,1
15/01/2016,Brisbane,0,1
16/01/2016,Brisbane,1,1
17/01/2016,Brisbane,0,1
18/01/2016,Brisbane,0,1
19/01/2016,Brisbane,0,1
20/01/2016,Brisbane,0,1
21/01/2016,Brisbane,0,1
22/01/2016,Brisbane,0,1
23/01/2016,Brisbane,0,1
24/01/2016,Brisbane,10.2,1
25/01/2016,Brisbane,0,1
26/01/2016,Brisbane,2,1
27/01/2016,Brisbane,0.4,1
28/01/2016,Brisbane,0.2,1
29/01/2016,Brisbane,1.8,1
30/01/2016,Brisbane,1.2,1
31/01/2016,Brisbane,2.6,1
1/02/2016,Brisbane,0,2
2/02/2016,Brisbane,0,2
3/02/2016,Brisbane,0.2,2
4/02/2016,Brisbane,NA,2
5/02/2016,Brisbane,NA,2
6/02/2016,Brisbane,1.2,2
7/02/2016,Brisbane,7.8,2
8/02/2016,Brisbane,0.2,2
9/02/2016,Brisbane,0,2
10/02/2016,Brisbane,0,2
11/02/2016,Brisbane,0,2
12/02/2016,Brisbane,0,2
13/02/2016,Brisbane,0,2
14/02/2016,Brisbane,0.2,2
15/02/2016,Brisbane,0,2
16/02/2016,Brisbane,0,2
17/02/2016,Brisbane,0,2
18/02/2016,Brisbane,0,2
19/02/2016,Brisbane,0.4,2
20/02/2016,Brisbane,3.6,2
21/02/2016,Brisbane,0,2
22/02/2016,Brisbane,0.2,2
23/02/2016,Brisbane,0,2
24/02/2016,Brisbane,0,2
25/02/2016,Brisbane,0,2
26/02/2016,Brisbane,0,2
27/02/2016,Brisbane,0,2
28/02/2016,Brisbane,0,2
29/02/2016,Brisbane,0,2
1/03/2016,Brisbane,0.4,3
2/03/2016,Brisbane,20.8,3
3/03/2016,Brisbane,6.6,3
4/03/2016,Brisbane,0.4,3
5/03/2016,Brisbane,0,3
6/03/2016,Brisbane,1.8,3
7/03/2016,Brisbane,3.2,3
8/03/2016,Brisbane,1.2,3
9/03/2016,Brisbane,6.2,3
10/03/2016,Brisbane,6.8,3
